CP,Năm,Kỳ,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định vô hình,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,Vốn góp của chủ sở hữu (đồng),Các quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
VCB,2025,3,2378185628000000,12909550000000,56577155000000,497858712000000,5251130000000,5307342000000,-56212000000,0,1595933982000000,1629942508000000,-34008526000000,165634799000000,135556078000000,30320838000000,-242117000000,2418879000000,0,904790000000,1589089000000,-75000000000,8141017000000,5671432000000,2469585000000,33460404000000,2378185628000000,2155394083000000,162585347000000,317172542000000,1611966698000000,28651000000,2000000,23085140000000,40555703000000,222791545000000,89361977000000,37060181000000,-912953000000,0,97169628000000,0,83556751000000,809837000000,112712000000
VCB,2025,2,2217636600000000,14790170000000,37686004000000,432541459000000,7992828000000,8031786000000,-38958000000,0,1522462472000000,1555769476000000,-33307004000000,162434366000000,128742046000000,33936124000000,-243804000000,2314396000000,0,860474000000,1528922000000,-75000000000,7967792000000,5487426000000,2480366000000,29447113000000,2217636600000000,2003887178000000,99737152000000,258784288000000,1586682675000000,47261000000,2000000,24165140000000,34470660000000,213749422000000,89361977000000,37060591000000,-926111000000,0,88145614000000,0,83556751000000,809837000000,107351000000
VCB,2025,1,2109260616000000,13713225000000,28020997000000,410587576000000,8417843000000,8448472000000,-30629000000,0,1433896493000000,1466390536000000,-32494043000000,176979243000000,108816448000000,68407949000000,-245154000000,2268608000000,0,814686000000,1528922000000,-75000000000,8015849000000,5494709000000,2521140000000,27360782000000,2109260616000000,1904318782000000,125298467000000,222764271000000,1509113389000000,306420000000,2000000,14165059000000,32671174000000,204941834000000,89361977000000,37052974000000,-951532000000,0,79376463000000,0,83556751000000,809837000000,101952000000
VCB,2024,4,2085873522000000,14268064000000,49340493000000,389951898000000,4876237000000,4908527000000,-32290000000,1314434000000,1418015724000000,1449198899000000,-31183175000000,167383349000000,86799901000000,80829540000000,-246092000000,2228098000000,0,774176000000,1528922000000,-75000000000,8092877000000,5530579000000,2562298000000,30402348000000,2085873522000000,1889664354000000,78237337000000,234533958000000,1514664850000000,0,529000000,24125059000000,38102621000000,196209168000000,61696139000000,37052974000000,-968292000000,0,98332086000000,0,55890913000000,809837000000,96261000000
VCB,2024,3,1932361908000000,13157642000000,13749051000000,316566672000000,4146191000000,4169191000000,-23000000000,0,1366088234000000,1401151675000000,-35063441000000,170417002000000,83014181000000,87654538000000,-251717000000,2119005000000,0,732508000000,1528922000000,-142425000000,8026692000000,5467042000000,2559650000000,38091419000000,1932361908000000,1742064907000000,36293273000000,217260367000000,1430071020000000,116988000000,2000000,26901267000000,31421990000000,190297001000000,61696139000000,27453485000000,-1031752000000,0,102068366000000,0,55890913000000,809837000000,110763000000
VCB,2024,2,1905638840000000,12950279000000,35735832000000,316589542000000,2432382000000,2457691000000,-25309000000,510955000000,1334761763000000,1369645310000000,-34883547000000,166831595000000,75795936000000,91200503000000,-164844000000,2086502000000,0,700005000000,1528922000000,-142425000000,7716515000000,5170802000000,2545713000000,26023475000000,1905638840000000,1723936055000000,66987719000000,218637742000000,1374683432000000,0,6000000,26901433000000,36725723000000,181702785000000,61696139000000,27453885000000,-950182000000,0,93397205000000,0,55890913000000,809837000000,105738000000
VCB,2024,1,1773713584000000,12915997000000,37836619000000,273301211000000,2936121000000,2956813000000,-20692000000,0,1235587240000000,1266477925000000,-30890685000000,174371785000000,91847588000000,82689041000000,-164844000000,2256391000000,0,869671000000,1529145000000,-142425000000,7588707000000,5046502000000,2542205000000,26919513000000,1773713584000000,1600099458000000,4140563000000,171488381000000,1347325611000000,91370000000,1000000,29904958000000,47148574000000,173614126000000,61696139000000,27447103000000,-960392000000,0,85330720000000,0,55890913000000,809837000000,100556000000
VCB,2023,4,1839223339000000,14504849000000,58104503000000,335616377000000,2495408000000,2511395000000,-15987000000,0,1241675333000000,1270359018000000,-28683685000000,145780067000000,67882480000000,78009747000000,-112160000000,2224945000000,0,838225000000,1529145000000,-142425000000,7708181000000,5115612000000,2592569000000,31113676000000,1839223339000000,1670680015000000,1670837000000,213841980000000,1395694611000000,117752000000,365000000,19912623000000,39441847000000,168543324000000,61696139000000,22562445000000,-983237000000,0,85173987000000,0,55890913000000,809837000000,93990000000
VCB,2023,3,1731305572000000,13913670000000,29312980000000,320952135000000,1735874000000,1754272000000,-18398000000,0,1150958460000000,1189830550000000,-38872090000000,178723851000000,102650493000000,76486963000000,-413605000000,2205920000000,0,794774000000,1529145000000,-117999000000,7441794000000,4812476000000,2629318000000,26060888000000,1731305572000000,1572062054000000,2517462000000,160234123000000,1349007010000000,899053000000,725000000,15277866000000,44125815000000,159243518000000,61696139000000,22562989000000,-934636000000,0,75814366000000,0,55890913000000,809837000000,104660000000
VCB,2023,2,1704273133000000,16134106000000,56430924000000,286406768000000,1375964000000,1394711000000,-18747000000,217428000000,1139981404000000,1177728457000000,-37747053000000,156871470000000,65672102000000,91277142000000,-77774000000,2248021000000,0,836875000000,1529145000000,-117999000000,7598470000000,4918188000000,2680282000000,37008578000000,1704273133000000,1552272005000000,2270345000000,160661447000000,1326853836000000,0,1088000000,16323830000000,46161459000000,152001128000000,53130392000000,22564054000000,-886284000000,0,77094650000000,0,47325166000000,809837000000,98316000000
VCB,2023,1,1846431290000000,15537950000000,139256635000000,334747844000000,1595430000000,1618113000000,-22683000000,224625000000,1142187065000000,1174080964000000,-31893899000000,174526186000000,77663390000000,96941064000000,-78268000000,2221085000000,0,809939000000,1529145000000,-117999000000,7732058000000,5015683000000,2716375000000,28402412000000,1846431290000000,1701772932000000,62167768000000,255334468000000,1281487916000000,0,2186000000,27337890000000,75442704000000,144658358000000,53130392000000,22556829000000,-842553000000,0,69719946000000,0,47325166000000,809837000000,93744000000
VCB,2022,4,1814188209000000,18348519000000,92557809000000,313591813000000,1499687000000,1543575000000,-43888000000,156515000000,1120286831000000,1145066250000000,-24779419000000,196171212000000,100739669000000,95513376000000,-81833000000,2193516000000,0,782370000000,1529145000000,-117999000000,7985401000000,5170083000000,2815318000000,61396906000000,1814188209000000,1676199767000000,67314816000000,232510850000000,1243468472000000,0,3298000000,25337894000000,107564437000000,137988442000000,53130392000000,18133039000000,-863071000000,0,67499703000000,0,47325166000000,809837000000,88379000000
VCB,2022,3,1649664327000000,16293080000000,11378539000000,302927159000000,1347762000000,1407066000000,-59304000000,0,1093971420000000,1130144001000000,-36172581000000,177219709000000,87411490000000,89896772000000,-88553000000,2217065000000,0,762920000000,1529145000000,-75000000000,7820512000000,5060100000000,2760412000000,36489081000000,1649664327000000,1521274777000000,93953298000000,179758633000000,1197150901000000,120079000000,4385000000,14698727000000,35588754000000,128389550000000,53130392000000,18122983000000,-741021000000,0,57774989000000,0,47325166000000,809837000000,102207000000
VCB,2022,2,1601680964000000,15097807000000,28813961000000,255536982000000,3150052000000,3187225000000,-37173000000,0,1066990245000000,1100852163000000,-33861918000000,191407933000000,101203452000000,90293045000000,-88564000000,2380804000000,0,796207000000,1659597000000,-75000000000,8103519000000,5249947000000,2853572000000,30199661000000,1601680964000000,1478691267000000,61020549000000,171676891000000,1195391576000000,19457000000,5485000000,14367033000000,36210276000000,122989697000000,52665213000000,18171942000000,-1782000000,0,52056550000000,0,47325166000000,344658000000,97774000000
VCB,2022,1,1462748158000000,14868054000000,38888399000000,194999348000000,3297566000000,3372631000000,-75065000000,0,997707933000000,1028899744000000,-31191811000000,171953037000000,75001289000000,97125603000000,-173855000000,2366013000000,0,781416000000,1659597000000,-75000000000,8344847000000,5386077000000,2958770000000,30322961000000,1462748158000000,1345670470000000,36310440000000,81277695000000,1179668881000000,5215000000,6585000000,17380178000000,31021476000000,117077688000000,52665213000000,18173014000000,-9856000000,0,46156897000000,0,47325166000000,344658000000,92420000000
VCB,2021,4,1414765480000000,18011766000000,22506711000000,225394684000000,2766098000000,2822531000000,-56433000000,303202000000,934774287000000,960749955000000,-25975668000000,170604700000000,71122502000000,99657595000000,-175397000000,2346176000000,0,759715000000,1661461000000,-75000000000,8626043000000,5552624000000,3073419000000,29431813000000,1414765480000000,1303594825000000,9468116000000,109757777000000,1135323913000000,0,7707000000,17387747000000,31649565000000,111170655000000,42428821000000,14977015000000,-4809000000,0,53682515000000,0,37088774000000,344658000000,87113000000
VCB,2021,3,1385235404000000,13356519000000,60969106000000,204916285000000,3583497000000,3621712000000,-38215000000,259485000000,909910950000000,936342968000000,-26432018000000,157248652000000,55437932000000,102404130000000,-593410000000,2391940000000,0,795615000000,1671325000000,-75000000000,8177405000000,5276646000000,2900759000000,24421565000000,1385235404000000,1275708552000000,8709185000000,106138767000000,1108418876000000,0,8784000000,21378159000000,31054781000000,109526852000000,42428821000000,14919178000000,-4418000000,0,52084482000000,0,37088774000000,344658000000,98789000000
VCB,2021,2,1304179106000000,13132285000000,23485760000000,185877601000000,3182256000000,3221327000000,-39071000000,0,897798104000000,921948437000000,-24150333000000,147996760000000,49339958000000,99230545000000,-573743000000,2281134000000,0,768311000000,1587823000000,-75000000000,8317891000000,5363219000000,2954672000000,22107315000000,1304179106000000,1199239588000000,9077476000000,84188617000000,1051273660000000,30621000000,9884000000,21398107000000,33261223000000,104939518000000,42518184000000,14916935000000,1708000000,0,47408227000000,0,37088774000000,434021000000,94464000000
VCB,2021,1,1278965858000000,12277634000000,24008360000000,203604117000000,3906378000000,3906378000000,0,-40138000000,850460935000000,871937942000000,-21477007000000,149886637000000,46062651000000,104464547000000,-640561000000,2261397000000,0,748574000000,1587823000000,-75000000000,8333301000000,5292741000000,3040560000000,24267237000000,1278965858000000,1177958179000000,18538368000000,80758597000000,1025547607000000,63982000000,10984000000,21408307000000,31630334000000,101007679000000,42428821000000,14925755000000,10387000000,0,43552776000000,0,37088774000000,344658000000,89940000000
VCB,2020,4,1327537012000000,15095394000000,33139373000000,267774393000000,1954061000000,1991861000000,-37800000000,0,820420266000000,839788261000000,-19367995000000,156931097000000,42148831000000,115382544000000,-600278000000,2235538000000,0,722715000000,1587823000000,-75000000000,8540358000000,5412135000000,3128223000000,21446532000000,1327537012000000,1228677618000000,41176995000000,103583833000000,1032113567000000,52031000000,14679000000,21240197000000,30496316000000,98859394000000,42428820000000,12204398000000,22719000000,0,44118433000000,0,37088774000000,344657000000,85024000000
VCB,2020,3,1188572083000000,11526350000000,24743965000000,174497813000000,2250624000000,2304262000000,-53638000000,0,766794848000000,783757352000000,-16962504000000,175191060000000,37720737000000,138032750000000,-562427000000,2347260000000,0,744134000000,1678126000000,-75000000000,7030365000000,4713049000000,2317316000000,24189798000000,1188572083000000,1094996063000000,6050819000000,52329301000000,981492077000000,33796000000,16402000000,21261806000000,33811862000000,93576020000000,42428820000000,12181294000000,26817000000,0,38840704000000,0,37088774000000,344657000000,98385000000
VCB,2020,2,1185871662000000,11863544000000,71566703000000,150761888000000,3556653000000,3641851000000,-85198000000,0,754374040000000,770744422000000,-16370382000000,163458200000000,28375703000000,135577712000000,-495215000000,2329091000000,0,725965000000,1678126000000,-75000000000,6723876000000,4409846000000,2314030000000,21237667000000,1185871662000000,1096293202000000,10326096000000,48404237000000,981240858000000,59126000000,17930000000,21294140000000,34950815000000,89578460000000,42428820000000,12183712000000,27265000000,0,34845164000000,0,37088774000000,344657000000,93499000000
VCB,2020,1,1144270262000000,13051765000000,16569663000000,176540624000000,4119276000000,4251400000000,-132124000000,0,739956924000000,754505321000000,-14548397000000,164724158000000,33877042000000,131308990000000,-461874000000,2487109000000,0,974286000000,1587823000000,-75000000000,6551316000000,4285267000000,2266049000000,20269427000000,1144270262000000,1059198276000000,32453089000000,43642452000000,934048243000000,365859000000,19090000000,21371902000000,27297641000000,85071986000000,42428820000000,12186084000000,18249000000,115528000000,30234825000000,0,37088774000000,344657000000,88480000000
VCB,2019,4,1223981046000000,13778357000000,34684091000000,248729494000000,1801146000000,1889628000000,-88482000000,98312000000,724290102000000,734706891000000,-10416789000000,167529868000000,35699090000000,132271302000000,-440524000000,2464493000000,0,951670000000,1587823000000,-75000000000,6695785000000,4434514000000,2261271000000,23909398000000,1223981046000000,1138227698000000,92365806000000,73621719000000,928413676000000,0,20431000000,21383932000000,22422134000000,85753348000000,42428820000000,9443008000000,16840000000,113011000000,33669545000000,0,37088774000000,344657000000,82124000000
VCB,2019,3,1157490007000000,12321593000000,32427277000000,216739273000000,3454865000000,3531164000000,-76299000000,89200000000,693973370000000,708095934000000,-14122564000000,169626712000000,43498998000000,126563376000000,-435662000000,2500312000000,0,979487000000,1587823000000,-66998000000,6322844000000,4146505000000,2176339000000,20034561000000,1157490007000000,1076099113000000,79127286000000,41331112000000,902184481000000,0,22116000000,21320813000000,32113305000000,81390894000000,42428820000000,9441199000000,40434000000,115899000000,29285510000000,0,37088774000000,344657000000,79032000000
VCB,2019,2,1122654558000000,12011456000000,50092949000000,174170889000000,4986634000000,5053763000000,-67129000000,108943000000,682822870000000,695437925000000,-12615055000000,166995578000000,38707837000000,128735924000000,-448183000000,2480250000000,0,959425000000,1587823000000,-66998000000,6439761000000,4259646000000,2180115000000,22545228000000,1122654558000000,1046257226000000,79605943000000,48792342000000,871229465000000,0,23911000000,21339119000000,25266446000000,76397332000000,42428820000000,9443149000000,69370000000,116817000000,24262720000000,0,37088774000000,344657000000,76456000000
VCB,2019,1,1073331964000000,10339124000000,39616873000000,169677886000000,4064542000000,4133808000000,-69266000000,95343000000,661260823000000,673021770000000,-11760947000000,155710612000000,33580660000000,122424846000000,-294894000000,2505232000000,0,936812000000,1635418000000,-66998000000,6379677000000,4294994000000,2084683000000,23681852000000,1073331964000000,1000340086000000,79113565000000,39264447000000,838277163000000,0,25339000000,21349085000000,22310487000000,72991878000000,42428831000000,9445732000000,79973000000,118856000000,20845932000000,0,37088774000000,344657000000,72554000000
VCB,2018,4,1072983278000000,12792045000000,10845701000000,248255997000000,2653746000000,2725051000000,-71305000000,275983000000,622358428000000,632632508000000,-10274080000000,149296310000000,35321139000000,114251030000000,-275859000000,2477138000000,0,908719000000,1635418000000,-66999000000,6527924000000,4459750000000,2068174000000,17500006000000,1072983278000000,1009094189000000,90685315000000,76523514000000,802222944000000,0,25803000000,21461132000000,18175481000000,63889089000000,36322343000000,7264843000000,84402000000,119031000000,20029479000000,0,35977686000000,344657000000,68991000000
VCB,2018,3,995111405000000,9857302000000,30488651000000,152373565000000,3744047000000,3819597000000,-75550000000,14493000000,616408960000000,627950675000000,-11541715000000,159115162000000,40997646000000,118446566000000,-329050000000,3213660000000,0,889726000000,2349073000000,-25139000000,6140145000000,4204238000000,1935907000000,13755420000000,995111405000000,933584926000000,81234750000000,34175703000000,773406098000000,0,27050000000,21095279000000,23646046000000,61526479000000,36322343000000,7254472000000,108454000000,107274000000,17650348000000,0,35977686000000,344657000000,83588000000
VCB,2018,2,977681955000000,12662976000000,13341730000000,142502643000000,8289267000000,8359718000000,-70451000000,0,596234984000000,606052672000000,-9817688000000,182871587000000,66150721000000,117011609000000,-290743000000,3289920000000,0,889540000000,2425519000000,-25139000000,5993507000000,4044348000000,1949159000000,12495341000000,977681955000000,919078771000000,71700823000000,39529573000000,764496671000000,375822000000,28274000000,21172268000000,21775340000000,58603184000000,36322343000000,7258817000000,80804000000,105280000000,14737469000000,0,35977686000000,344657000000,98471000000
VCB,2018,1,1003905794000000,9656186000000,27848779000000,157073981000000,12497227000000,12565202000000,-67975000000,945052000000,568031472000000,577614527000000,-9583055000000,205137354000000,99846994000000,105458038000000,-167678000000,3398372000000,0,887024000000,2536486000000,-25138000000,6077063000000,4128275000000,1948788000000,13240308000000,1003905794000000,947840056000000,131380979000000,40590347000000,730986638000000,0,26758000000,18295001000000,26560333000000,56065738000000,36321931000000,7253682000000,96485000000,83285000000,12217085000000,0,35977686000000,0,93270000000
VCB,2017,4,1035335383000000,10102861000000,93615618000000,232921600000000,9669032000000,9750243000000,-81211000000,832354000000,535321403000000,543434459000000,-8113056000000,129952271000000,34688298000000,95404020000000,-140047000000,3547232000000,0,866006000000,2705966000000,-24740000000,6162232000000,4197923000000,1964309000000,13210780000000,1035335383000000,981268681000000,171385068000000,66942203000000,708505517000000,0,23153000000,18214504000000,16198236000000,54066702000000,36021931000000,5915999000000,94486000000,83285000000,11861673000000,0,35977686000000,44245000000,89328000000
VCB,2017,3,898484068000000,9252890000000,26413881000000,181411196000000,8350120000000,8417758000000,-67638000000,729633000000,525869255000000,536059465000000,-10190210000000,124515924000000,34401853000000,90251651000000,-137580000000,3676419000000,0,861349000000,2829418000000,-14348000000,5476421000000,3568549000000,1907872000000,12788329000000,898484068000000,844238267000000,67132292000000,45505277000000,688000458000000,0,11726000000,16257159000000,27331355000000,54245801000000,36022846000000,5932975000000,87527000000,83285000000,11962733000000,0,35977686000000,45160000000,156435000000
VCB,2017,2,849752472000000,10197518000000,36549788000000,143121876000000,6503770000000,6525271000000,-21501000000,405104000000,513575109000000,524686234000000,-11111125000000,119404934000000,30385221000000,89215495000000,-195782000000,3662384000000,0,847314000000,2829418000000,-14348000000,5538781000000,3637629000000,1901152000000,10793208000000,849752472000000,797642613000000,70661272000000,46511762000000,650128698000000,0,2450000000,13037014000000,17301417000000,52109859000000,36022846000000,5934834000000,87932000000,83285000000,9829079000000,0,35977686000000,45160000000,151883000000
VCB,2017,1,794278974000000,8866965000000,24076718000000,116799011000000,10471789000000,10497064000000,-25275000000,703058000000,490076491000000,499587470000000,-9510979000000,122949670000000,35087405000000,88060558000000,-198293000000,3646690000000,0,831620000000,2829418000000,-14348000000,5550728000000,3638898000000,1911830000000,11137854000000,794278974000000,743965779000000,50366699000000,57538693000000,609313907000000,0,0,10055615000000,16690865000000,50313195000000,36022846000000,5936667000000,86327000000,83285000000,8036830000000,0,35977686000000,45160000000,147240000000
VCB,2016,4,788169080000000,9692054000000,17387127000000,151759427000000,4241719000000,4279552000000,-37833000000,230658000000,452683027000000,460808467000000,-8125440000000,130797691000000,51923760000000,79019284000000,-145353000000,3624788000000,0,812911000000,2829418000000,-17541000000,5639389000000,3717053000000,1922336000000,12113200000000,788169080000000,738874229000000,54151413000000,72238405000000,590398105000000,0,0,10286376000000,11799930000000,49294851000000,36022846000000,4938287000000,78166000000,89222000000,8022752000000,0,35977686000000,45160000000,143578000000
VCB,2016,3,737584857000000,8778862000000,21083502000000,106954719000000,6036729000000,6082974000000,-46245000000,156703000000,437976900000000,447882697000000,-9905797000000,135275015000000,69080510000000,68604787000000,-2410282000000,3594152000000,0,800523000000,2829418000000,-35789000000,5054402000000,3326603000000,1727799000000,12673873000000,737584857000000,690048006000000,41910369000000,57100860000000,573152682000000,0,0,2454363000000,15429732000000,47536851000000,36022846000000,4936094000000,73950000000,89222000000,6263141000000,0,35977686000000,45160000000,151598000000
VCB,2016,2,679000959000000,8230533000000,19732309000000,99792087000000,8796343000000,8814903000000,-18560000000,108759000000,418764081000000,427215383000000,-8451302000000,105702249000000,40947231000000,67193054000000,-2438036000000,3578774000000,0,785145000000,2829418000000,-35789000000,4870123000000,3207270000000,1662853000000,9425701000000,679000959000000,630424915000000,31670701000000,49476949000000,535648094000000,0,0,2473166000000,11156005000000,48576044000000,32420681000000,4936561000000,78970000000,89222000000,10902265000000,0,26650203000000,45160000000,148345000000
VCB,2016,1,662324193000000,7642463000000,13420795000000,106095611000000,8233876000000,8247423000000,-13547000000,36020000000,401741175000000,411634016000000,-9892841000000,105917551000000,38713701000000,67904005000000,-700155000000,3568276000000,0,774647000000,2829418000000,-35789000000,4913668000000,3248348000000,1665320000000,10754758000000,662324193000000,615176422000000,21560994000000,65175497000000,513996943000000,0,0,2473254000000,11969734000000,47147771000000,32420681000000,4940756000000,238159000000,89222000000,9314394000000,0,26650203000000,45160000000,144559000000
VCB,2015,4,673910104000000,8519334000000,19715035000000,130733676000000,9467305000000,9468255000000,-950000000,628000000,378541826000000,387151704000000,-8609878000000,108055236000000,42941175000000,65818278000000,-704217000000,3556747000000,0,763118000000,2829418000000,-35789000000,5039472000000,3385621000000,1653851000000,10280845000000,673910104000000,627771917000000,41479553000000,72135381000000,499764252000000,0,0,2479070000000,11913661000000,45971309000000,32420681000000,4153802000000,79633000000,89222000000,9227971000000,166878000000,26650203000000,45160000000,0
VCB,2015,3,615575404000000,6947028000000,10442220000000,143811243000000,5082489000000,5087753000000,-5264000000,0,348703951000000,356398009000000,-7694058000000,83593500000000,41388344000000,42510632000000,-305476000000,3599349000000,0,783232000000,2841958000000,-25841000000,4296640000000,2694255000000,1602385000000,9098984000000,615575404000000,571412052000000,8878262000000,55842211000000,487713370000000,291528000000,0,2485532000000,16201149000000,44005436000000,32420681000000,4149996000000,-220865000000,83405000000,7572219000000,157916000000,26650203000000,45160000000,0
VCB,2015,2,576530046000000,6891011000000,12005944000000,108330132000000,9833377000000,9837575000000,-4198000000,0,332614607000000,340736448000000,-8121841000000,91072071000000,49893460000000,41475805000000,-297194000000,3523767000000,0,691513000000,2858095000000,-25841000000,4334443000000,2724312000000,1610131000000,7924694000000,576530046000000,530700150000000,7792564000000,48571367000000,459626276000000,128933000000,0,2501675000000,12079335000000,45675201000000,32420681000000,4151940000000,-61839000000,83405000000,9081014000000,0,26650203000000,45160000000,154695000000
VCB,2015,1,539756977000000,6772543000000,17144249000000,95725437000000,11597940000000,11602692000000,-4752000000,0,322490246000000,330781893000000,-8291647000000,68872044000000,51797407000000,17367588000000,-292951000000,3534318000000,0,699062000000,2858095000000,-22839000000,4345342000000,2720989000000,1624353000000,9274858000000,539756977000000,495122503000000,13893896000000,31767599000000,436319798000000,277916000000,0,2508709000000,10354585000000,44483454000000,32420681000000,4151991000000,67026000000,83405000000,7760351000000,151020000000,26650203000000,0,0
VCB,2014,4,574260449000000,8323365000000,13271762000000,142789201000000,10122143000000,10126592000000,-4449000000,0,316295427000000,323332037000000,-7036610000000,67085423000000,49197775000000,18180227000000,-292579000000,3606811000000,0,760555000000,2869095000000,-22839000000,4445613000000,2811969000000,1633644000000,8320704000000,574260449000000,529931763000000,54093072000000,43237798000000,418929093000000,75278000000,0,2208641000000,11387881000000,44180839000000,32420681000000,3474364000000,127068000000,82306000000,8076420000000,147847000000,26650203000000,45160000000,0
VCB,2014,3,530226286000000,6077870000000,19483434000000,110227124000000,7247792000000,7249330000000,-1538000000,104937000000,294054204000000,302180749000000,-8126545000000,78443568000000,60303931000000,18413058000000,-273421000000,3053438000000,0,716212000000,2373516000000,-36290000000,3883620000000,2381841000000,1501779000000,7650299000000,530226286000000,486839257000000,45281442000000,38398696000000,387326343000000,0,0,2009024000000,13823752000000,43248451000000,32420728000000,3467782000000,521045000000,82306000000,6756590000000,138578000000,26650203000000,45160000000,0
VCB,2014,2,504432098000000,6400674000000,10564613000000,95675072000000,3686491000000,3688029000000,-1538000000,136872000000,283795303000000,292544511000000,-8749208000000,87719628000000,69346241000000,18454760000000,-81373000000,3054536000000,0,717309000000,2373517000000,-36290000000,3899399000000,2380845000000,1518554000000,9499510000000,504432098000000,459803891000000,30008203000000,40716640000000,378559234000000,0,0,2010683000000,8509131000000,44492642000000,32420728000000,3467784000000,22981000000,82306000000,8498843000000,0,23174171000000,45160000000,135565000000
VCB,2014,1,446117972000000,6222082000000,16693296000000,51874242000000,162412000000,163300000000,-888000000,0,271486251000000,279149107000000,-7662856000000,85800534000000,69194546000000,16633583000000,-27595000000,3056686000000,0,719167000000,2373809000000,-36290000000,3954129000000,2446998000000,1507131000000,6868340000000,446117972000000,402005932000000,13125149000000,25397750000000,342997716000000,57757000000,0,2010919000000,18416641000000,43958700000000,32420728000000,3468322000000,532402000000,82306000000,7454942000000,153340000000,23174171000000,45160000000,0
VCB,2013,4,467459005000000,6059670000000,24847774000000,89779154000000,195270000000,196158000000,-888000000,136725000000,267853577000000,274314124000000,-6460547000000,64894223000000,47127209000000,17796291000000,-29277000000,3058350000000,707078000000,14986000000,2373524000000,-37238000000,4085673000000,2556034000000,1529639000000,6548589000000,467459005000000,424231549000000,32622411000000,43951083000000,330305918000000,0,0,2013597000000,15338540000000,43077880000000,32420728000000,2821913000000,121990000000,82238000000,7631011000000,149576000000,23174171000000,45160000000,0
VCB,2013,3,439657246000000,5894863000000,23079579000000,79181704000000,49248000000,50437000000,-1189000000,0,243529996000000,250687130000000,-7157134000000,73948362000000,60294420000000,13908760000000,-254818000000,3059243000000,0,727737000000,2368744000000,-37238000000,3338189000000,1925251000000,1412938000000,7576062000000,439657246000000,397996452000000,24410626000000,40132999000000,316188876000000,391774000000,0,2016411000000,14855766000000,41514360000000,32420728000000,2811938000000,-136282000000,71001000000,6346975000000,146434000000,23174171000000,45160000000,0
VCB,2013,2,436470622000000,5231973000000,26279109000000,100030235000000,116353000000,117542000000,-1189000000,0,231636362000000,237612613000000,-5976251000000,60880619000000,52816513000000,8318924000000,-254818000000,3066704000000,0,735198000000,2368744000000,-37238000000,3462996000000,2163942000000,1299054000000,5766271000000,436470622000000,395701250000000,27209948000000,42490878000000,304811711000000,227694000000,0,2020344000000,18940675000000,40602641000000,32420728000000,2811938000000,-7768000000,71001000000,5306742000000,0,23174171000000,45160000000,166731000000
VCB,2013,1,420480386000000,5029253000000,17381212000000,70351250000000,141737000000,142100000000,-363000000,0,233165635000000,239174418000000,-6008783000000,79487279000000,74148142000000,5650161000000,-311024000000,3067181000000,0,735675000000,2368744000000,-37238000000,3519041000000,2188043000000,1330998000000,8337798000000,420480386000000,377841680000000,12654503000000,37774788000000,297758690000000,349834000000,0,2020675000000,27283190000000,42482022000000,32420728000000,2793880000000,-59009000000,71003000000,7255420000000,156684000000,23174171000000,45160000000,0
