CP,Năm,Kỳ,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu
VCB,2025,3,26713295000000,0.15187145027176674,9020499000000,0.052984977233669656,26713295000000,-12056055000000,14657240000000,3028260000000,-2089925000000,938335000000,1279521000000,106423000000,0,1159760000000,-227990000000,931770000000,138839000000,18052128000000,-6037436000000,12014692000000,-775587000000,11239105000000,-2213552000000,-2216968000000,3416000000,-5054000000,9025553000000,9020499000000,1080
VCB,2025,2,25217499000000,0.10299707729272828,8831885000000,0.08774906661983242,25217499000000,-11057307000000,14160192000000,2810503000000,-1949559000000,860944000000,1635290000000,-2625000000,3616000000,1415156000000,-262228000000,1152928000000,57892000000,17868237000000,-6024732000000,11843505000000,-809590000000,11033915000000,-2196544000000,-2198412000000,1868000000,-5486000000,8837371000000,8831885000000,1057
VCB,2025,1,24574904000000,0.023116230621082895,8696229000000,0.01354697601257623,24574904000000,-10887751000000,13687153000000,2727520000000,-1921556000000,805964000000,2023940000000,36488000000,0,1017049000000,-354171000000,662878000000,48303000000,17264726000000,-5652437000000,11612289000000,-752356000000,10859933000000,-2158207000000,-2158599000000,392000000,-5497000000,8701726000000,8696229000000,1041
VCB,2024,4,23581262000000,-0.06042479993557999,8565378000000,-0.08440895835030282,23581262000000,-9738930000000,13842332000000,3368816000000,-2445033000000,923783000000,1586183000000,4472000000,2735000000,1833975000000,-549322000000,1284653000000,66378000000,17710536000000,-7040188000000,10670348000000,32329000000,10702677000000,-2132756000000,-2274403000000,141647000000,-4543000000,8569921000000,8565378000000,1050
VCB,2024,3,23191212000000,-0.12526943046964503,8566598000000,0.17852434454146482,23191212000000,-9613576000000,13577636000000,3263776000000,-1991516000000,1272260000000,1347041000000,36148000000,-1145000000,903341000000,-348724000000,554617000000,49396000000,16835953000000,-5811433000000,11024520000000,-325576000000,10698944000000,-2126450000000,-2126192000000,-258000000,-5896000000,8572494000000,8566598000000,1533
VCB,2024,2,22862707000000,-0.20676775976693806,8119414000000,0.09384448477351541,22862707000000,-8954996000000,13907711000000,3329645000000,-1830691000000,1498954000000,1160896000000,-1324000000,1854000000,841663000000,-817277000000,24386000000,159132000000,16751609000000,-5121793000000,11629816000000,-1513541000000,10116275000000,-1991566000000,-1992320000000,754000000,-5295000000,8124709000000,8119414000000,1453
VCB,2024,1,24019660000000,-0.132547028931519,8579996000000,-0.045228057622405324,24019660000000,-9941604000000,14078056000000,3180768000000,-1739204000000,1441564000000,1197631000000,22827000000,0,889827000000,-381780000000,508047000000,32273000000,17280398000000,-5053949000000,12226449000000,-1508210000000,10718239000000,-2132246000000,-2133581000000,1335000000,-5997000000,8585993000000,8579996000000,1535
VCB,2023,4,25097791000000,-0.01708680635418842,9355026000000,-0.057739223029333285,25097791000000,-12296567000000,12801224000000,3898648000000,-2088396000000,1810252000000,892534000000,-6214000000,0,1106147000000,-695656000000,410491000000,50548000000,15958835000000,-5752034000000,10206801000000,1486696000000,11693497000000,-2333464000000,-2229602000000,-103862000000,-5007000000,9360033000000,9355026000000,1674
VCB,2023,3,26512406000000,0.17470438329230142,7268919000000,0.19852841033690746,26512406000000,-13916288000000,12596118000000,2613930000000,-1722918000000,891012000000,1581192000000,41527000000,61000000,872730000000,-351966000000,520764000000,146603000000,15777277000000,-5232506000000,10544771000000,-1493607000000,9051164000000,-1776608000000,-1775588000000,-1020000000,-5637000000,7274556000000,7268919000000,1301
VCB,2023,2,28822211000000,0.3943281225486537,7422823000000,0.25027463578124404,28822211000000,-14801630000000,14020581000000,3236417000000,-1614304000000,1622113000000,1480628000000,59001000000,-61000000,626392000000,-368253000000,258139000000,29775000000,17470176000000,-5656105000000,11814071000000,-2536389000000,9277682000000,-1849724000000,-1848850000000,-874000000,-5135000000,7427958000000,7422823000000,1568
VCB,2023,1,27689870000000,0.4318782902910284,8986435000000,0.1286394536976287,27689870000000,-13486924000000,14202946000000,2883744000000,-1427398000000,1456346000000,1705674000000,29903000000,0,1444875000000,-362100000000,1082775000000,39530000000,18517174000000,-5274254000000,13242920000000,-2021576000000,11221344000000,-2229443000000,-2225361000000,-4082000000,-5466000000,8991901000000,8986435000000,1899
VCB,2022,4,25534087000000,0.4233621009363978,9928277000000,0.5181343798912136,25534087000000,-10724618000000,14809469000000,4124029000000,-1792687000000,2331342000000,1187847000000,4042000000,-1965000000,721538000000,-421945000000,299593000000,32313000000,18662641000000,-4564916000000,14097725000000,-1678630000000,12419095000000,-2485576000000,-3407375000000,921799000000,-5242000000,9933519000000,9928277000000,2098
VCB,2022,3,22569428000000,0.279450673743941,6064870000000,0.3201346065522743,22569428000000,-8905477000000,13663951000000,2598204000000,-1495935000000,1102269000000,1587018000000,-154388000000,-1155000000,616998000000,-227533000000,389465000000,127264000000,16714424000000,-6370005000000,10344419000000,-2778197000000,7566222000000,-1496778000000,-1501418000000,4640000000,-4574000000,6069444000000,6064870000000,1282
VCB,2022,2,20671039000000,0.15858440992568282,5936954000000,0.4991910568027868,20671039000000,-7873833000000,12797206000000,1989373000000,-1294744000000,694629000000,1471713000000,18628000000,84879000000,1013546000000,-132605000000,880941000000,24345000000,15972341000000,-5815802000000,10156539000000,-2733452000000,7423087000000,-1481156000000,-1478285000000,-2871000000,-4977000000,5941931000000,5936954000000,1255
VCB,2022,1,19338145000000,0.12423820323223327,7962184000000,0.1535087325344241,19338145000000,-7362293000000,11975852000000,3713402000000,-1002574000000,2710828000000,1521867000000,16525000000,-164000000,576253000000,-92295000000,483958000000,24495000000,16733361000000,-4509166000000,12224195000000,-2273939000000,9950256000000,-1982830000000,-1986469000000,3639000000,-5242000000,7967426000000,7962184000000,1682
VCB,2021,4,17939277000000,0.045206660367207434,6539788000000,0.1539066741549521,17939277000000,-7272542000000,10666735000000,3543821000000,-1130264000000,2413557000000,1172943000000,19525000000,-85235000000,805593000000,-235941000000,569652000000,31107000000,14788284000000,-3148128000000,11640156000000,-3465595000000,8174561000000,-1629212000000,-720581000000,-908631000000,-5561000000,6545349000000,6539788000000,896
VCB,2021,3,17639936000000,0.036200050306402644,4594130000000,0.15115050403379887,17639936000000,-7212090000000,10427846000000,1942947000000,-815681000000,1127266000000,1173269000000,27991000000,0,652774000000,-201077000000,451697000000,44716000000,13252785000000,-5002394000000,8250391000000,-2512537000000,5737854000000,-1138566000000,-1138368000000,-198000000,-5158000000,4599288000000,4594130000000,1239
VCB,2021,2,17841634000000,0.05981143143116386,3960105000000,-0.14103821866461447,17841634000000,-6745376000000,11096258000000,1481928000000,-1053459000000,428469000000,986338000000,9376000000,0,505430000000,-145887000000,359543000000,23317000000,12903301000000,-4736182000000,8167119000000,-3225157000000,4941962000000,-977288000000,-976927000000,-361000000,-4569000000,3964674000000,3960105000000,1068
VCB,2021,1,17201110000000,-0.04987424074246432,6902578000000,0.6521585527709396,17201110000000,-7119377000000,10081733000000,4317820000000,-880039000000,3437781000000,1042270000000,80773000000,0,1136573000000,-124204000000,1012369000000,30670000000,15685596000000,-4779221000000,10906375000000,-2274909000000,8631466000000,-1723944000000,-1724252000000,308000000,-4944000000,6907522000000,6902578000000,1861
VCB,2020,4,17163378000000,-0.01670408967727029,5667519000000,0.2888595831135969,17163378000000,-6772963000000,10390415000000,4270327000000,-1201789000000,3068538000000,943429000000,16318000000,0,233108000000,-297621000000,-64513000000,39176000000,14393363000000,-3430347000000,10963016000000,-3883562000000,7079454000000,-1405651000000,-1406498000000,847000000,-6284000000,5673803000000,5667519000000,1528
VCB,2020,3,17023678000000,-0.02534343925042088,3990903000000,-0.20946263149366665,17023678000000,-8300504000000,8723174000000,2202803000000,-945756000000,1257047000000,1034372000000,6576000000,0,700020000000,-160358000000,539662000000,25619000000,11586450000000,-4578828000000,7007622000000,-2024552000000,4983070000000,-987259000000,-986487000000,-772000000,-4908000000,3995811000000,3990903000000,1076
VCB,2020,2,16834725000000,0.007500631082132602,4610339000000,0.057190487819699216,16834725000000,-8757406000000,8077319000000,2008596000000,-852806000000,1155790000000,821053000000,33363000000,0,466742000000,-180865000000,285877000000,360154000000,10733556000000,-3118019000000,7615537000000,-1856218000000,5759319000000,-1143705000000,-742388000000,-401317000000,-5275000000,4615614000000,4610339000000,1241
VCB,2020,1,18104035000000,0.12492740864425259,4177915000000,-0.11246722137531716,18104035000000,-9069714000000,9034321000000,2107705000000,-980495000000,1127210000000,1107545000000,-54447000000,0,1144844000000,-105617000000,1039227000000,31629000000,12285485000000,-4910290000000,7375195000000,-2152448000000,5222747000000,-1040092000000,-1042687000000,2595000000,-4740000000,4182655000000,4177915000000,1129
VCB,2019,4,17454947000000,0.13731191944301716,4397313000000,-0.1665708585149566,17454947000000,-8815229000000,8639718000000,2517811000000,-1631957000000,885854000000,842604000000,29539000000,7220000000,396225000000,-143763000000,252462000000,10067000000,10667464000000,-3186384000000,7481080000000,-1971078000000,5510002000000,-1109628000000,-1106324000000,-3304000000,-3061000000,4400374000000,4397313000000,1186
VCB,2019,3,17466335000000,0.21694867781473207,5048342000000,0.7202675911683465,17466335000000,-8607049000000,8859286000000,2332534000000,-1054049000000,1278485000000,907733000000,31891000000,59000000,974695000000,-91295000000,883400000000,33671000000,11994525000000,-4182440000000,7812085000000,-1502813000000,6309272000000,-1257677000000,-1257587000000,-90000000,-3253000000,5051595000000,5048342000000,1361
VCB,2019,2,16709394000000,0.24357613071850867,4360935000000,0.49001986153303156,16709394000000,-8129805000000,8579589000000,2163927000000,-1088543000000,1075384000000,699622000000,18742000000,-1000000,858635000000,-90967000000,767668000000,162313000000,11303317000000,-4067395000000,7235922000000,-1810652000000,5425270000000,-1060460000000,-1060621000000,161000000,-3875000000,4364810000000,4360935000000,1175
VCB,2019,1,16093514000000,0.26438237133456316,4707336000000,0.34343774508069186,16093514000000,-7594757000000,8498757000000,1990520000000,-921114000000,1069406000000,928315000000,65830000000,-1000000,1198211000000,-31944000000,1166267000000,39111000000,11767685000000,-4383645000000,7384040000000,-1505886000000,5878154000000,-1167253000000,-1166423000000,-830000000,-3565000000,4710901000000,4707336000000,1281
VCB,2018,4,15347546000000,0.24301278669389476,5276169000000,0.9390700920514271,15347546000000,-7366906000000,7980640000000,1957269000000,-1183495000000,773774000000,657217000000,-67544000000,0,376205000000,-175522000000,200683000000,1145497000000,10690267000000,-1692860000000,8997407000000,-2380860000000,6616547000000,-1336422000000,-1337493000000,1071000000,-3956000000,5280125000000,5276169000000,1467
VCB,2018,3,14352565000000,0.23763918581172205,2934626000000,0.36870020339564863,14352565000000,-6921040000000,7431525000000,1785902000000,-890988000000,894914000000,569850000000,-170034000000,120000000,706510000000,-55568000000,650942000000,37180000000,9414497000000,-3985542000000,5428955000000,-1762456000000,3666499000000,-728145000000,-728139000000,-6000000,-3728000000,2938354000000,2934626000000,816
VCB,2018,2,13436567000000,0.1742143927476532,2926763000000,0.45155639582144064,13436567000000,-6636603000000,6799964000000,1698620000000,-847349000000,851271000000,424425000000,209536000000,0,803058000000,-23037000000,780021000000,194042000000,9259259000000,-3864021000000,5395238000000,-1737816000000,3657422000000,-725782000000,-726099000000,317000000,-4877000000,2931640000000,2926763000000,813
VCB,2018,1,12728360000000,0.18161979636201733,3503948000000,0.5883666733605106,12728360000000,-6531261000000,6197099000000,1579203000000,-697835000000,881368000000,614937000000,277442000000,0,1630125000000,-27405000000,1602720000000,350748000000,9924314000000,-4067409000000,5856905000000,-1497550000000,4359355000000,-851482000000,-851480000000,-2000000,-3925000000,3507873000000,3503948000000,974
VCB,2017,4,12347054000000,0.20517464414219067,2720979000000,0.5391528202180964,12347054000000,-6570271000000,5776783000000,1515561000000,-939659000000,575902000000,332081000000,87216000000,-13201000000,714250000000,-108314000000,605936000000,164438000000,7529155000000,-2434484000000,5094671000000,-1691913000000,3402758000000,-674955000000,-676773000000,1818000000,-6824000000,2727803000000,2720979000000,756
VCB,2017,3,11596728000000,0.22753160647824175,2144097000000,0.30988256798679426,11596728000000,-6348645000000,5248083000000,1344987000000,-694294000000,650693000000,645436000000,135003000000,-217000000,661553000000,-75866000000,585687000000,23201000000,7287886000000,-3104067000000,4183819000000,-1504276000000,2679543000000,-530923000000,-531093000000,170000000,-4523000000,2148620000000,2144097000000,596
VCB,2017,2,11443027000000,0.24015314440884403,2016293000000,0.27262462145550437,11443027000000,-5806157000000,5636870000000,1309198000000,-644652000000,664546000000,423210000000,150055000000,43996000000,382271000000,-37415000000,344856000000,34987000000,7298520000000,-3179058000000,4119462000000,-1601565000000,2517897000000,-497067000000,-498684000000,1617000000,-4537000000,2020830000000,2016293000000,561
VCB,2017,1,10771959000000,0.2232205434608325,2206007000000,0.20108009752347433,10771959000000,-5496150000000,5275809000000,1211327000000,-561338000000,649989000000,641691000000,104126000000,-50320000000,597758000000,-34703000000,563055000000,103141000000,7287491000000,-3149927000000,4137564000000,-1400661000000,2736903000000,-527258000000,-527258000000,0,-3638000000,2209645000000,2206007000000,613
VCB,2016,4,10245033000000,0.20409164183272382,1767842000000,0.04654833141133262,10245033000000,-5361543000000,4883490000000,1237854000000,-707950000000,529904000000,283942000000,110683000000,-44618000000,975481000000,-192621000000,782860000000,19875000000,6566136000000,-2478081000000,4088055000000,-1896832000000,2191223000000,-416860000000,-415800000000,-1060000000,-6521000000,1774363000000,1767842000000,491
VCB,2016,3,9447193000000,0.1837414361558898,1636862000000,0.39650290287215845,9447193000000,-4958701000000,4488492000000,1077573000000,-556360000000,521213000000,527947000000,203118000000,-44316000000,395051000000,-57071000000,337980000000,25886000000,6060320000000,-2503744000000,3556576000000,-1510057000000,2046519000000,-405008000000,-405297000000,289000000,-4649000000,1641511000000,1636862000000,455
VCB,2016,2,9227108000000,0.23267426265847602,1584358000000,0.1992972373950852,9227108000000,-4602441000000,4624667000000,1042851000000,-521684000000,521167000000,474279000000,141513000000,-111000000,587259000000,-55202000000,532057000000,15439000000,6309011000000,-2630525000000,3678486000000,-1698322000000,1980164000000,-391982000000,-391821000000,-161000000,-3824000000,1588182000000,1584358000000,595
VCB,2016,1,8806228000000,0.19228923218480193,1836686000000,0.6231895072949964,8806228000000,-4273463000000,4532765000000,954874000000,-415905000000,538969000000,563949000000,40454000000,-371000000,357105000000,-71433000000,285672000000,10524000000,5971962000000,-2367354000000,3604608000000,-1305197000000,2299411000000,-458429000000,-459361000000,932000000,-4296000000,1840982000000,1836686000000,689
VCB,2015,4,8508516000000,0.16465542635192032,1689212000000,0.27932032614408686,8508516000000,-4071252000000,4437264000000,1027857000000,-549023000000,478834000000,44073000000,39723000000,116000000,1036913000000,-144788000000,892125000000,-8341000000,5883794000000,-2354208000000,3529586000000,-1350701000000,2178885000000,-481866000000,-481576000000,-290000000,-7807000000,1697019000000,1689212000000,634
VCB,2015,3,7980791000000,0.13148558406232252,1172115000000,0.12836925245170003,7980791000000,-4030125000000,3950666000000,852950000000,-411606000000,441344000000,648746000000,23900000000,57645000000,475310000000,-72891000000,402419000000,49044000000,5573764000000,-2704983000000,2868781000000,-1370994000000,1497787000000,-322025000000,-322025000000,0,-3647000000,1175762000000,1172115000000,440
VCB,2015,2,7485439000000,0.08041933111171155,1321072000000,0.24989427095209127,7485439000000,-3916608000000,3568831000000,992196000000,-377303000000,614893000000,408545000000,37584000000,50770000000,424368000000,-8008000000,416360000000,7202000000,5104185000000,-1580040000000,3524145000000,-1829132000000,1695013000000,-370339000000,-370339000000,0,-3602000000,1324674000000,1321072000000,496
VCB,2015,1,7385983000000,0.1021344989186045,1131529000000,-0.029534334221010063,7385983000000,-3889712000000,3496271000000,684301000000,-346724000000,337577000000,471210000000,96268000000,43823000000,203959000000,-9584000000,194375000000,530000000,4640054000000,-1667018000000,2973036000000,-1517264000000,1455772000000,-321160000000,-321160000000,0,-3083000000,1134612000000,1131529000000,425
VCB,2014,4,7305608000000,0.07956205199317413,1320398000000,-0.011457645492782073,7305608000000,-4047919000000,3257689000000,885626000000,-445676000000,439950000000,268856000000,56721000000,-19071000000,870941000000,-88015000000,782926000000,138365000000,4925436000000,-2170804000000,2754632000000,-1058881000000,1695751000000,-366078000000,-365452000000,-626000000,-9275000000,1329673000000,1320398000000,539
VCB,2014,3,7053374000000,0.011872408406947105,1038769000000,-0.001079919837829313,7053374000000,-4107903000000,2945471000000,779883000000,-337836000000,442047000000,277827000000,70182000000,48448000000,277490000000,-39743000000,237747000000,11105000000,4032827000000,-1594616000000,2438211000000,-1104961000000,1333250000000,-291470000000,-291470000000,0,-3011000000,1041780000000,1038769000000,433
VCB,2014,2,6928272000000,-0.03643624470776988,1056947000000,0.22375169909713394,6928272000000,-4121869000000,2806403000000,756842000000,-321314000000,435528000000,355921000000,6111000000,4849000000,544043000000,-17892000000,526151000000,60597000000,4195560000000,-1640098000000,2555462000000,-1209801000000,1345661000000,-285691000000,-285678000000,-13000000,-3023000000,1059970000000,1056947000000,456
VCB,2014,1,6701526000000,-0.09202297553003622,1165965000000,0.04810459067410609,6701526000000,-3935907000000,2765619000000,735997000000,-311766000000,424231000000,442475000000,66110000000,179895000000,254909000000,-14133000000,240776000000,-346000000,4118760000000,-1419875000000,2698885000000,-1198236000000,1500649000000,-330797000000,-330797000000,0,-3887000000,1169852000000,1165965000000,503
VCB,2013,4,6767196000000,0.0,1335702000000,0.0,6767196000000,-4031753000000,2735443000000,790864000000,-358898000000,431966000000,150566000000,7086000000,61136000000,522640000000,-15095000000,507545000000,384293000000,4278035000000,-2025996000000,2252039000000,-499367000000,1752672000000,-408938000000,-408558000000,-380000000,-8032000000,1343734000000,1335702000000,576
VCB,2013,3,6970616000000,0.0,1039892000000,0.0,6970616000000,-4057026000000,2913590000000,678351000000,-269899000000,408452000000,420667000000,1646000000,6257000000,296321000000,-17017000000,279304000000,4086000000,4034002000000,-1574764000000,2459238000000,-1070764000000,1388474000000,-345375000000,-345375000000,0,-3207000000,1043099000000,1039892000000,449
VCB,2013,2,7190258000000,0.0,863694000000,0.0,7190258000000,-4637657000000,2552601000000,668821000000,-280824000000,387997000000,378028000000,6961000000,37783000000,162565000000,-34657000000,127908000000,93552000000,3584830000000,-1280166000000,2304664000000,-1166802000000,1137862000000,-270643000000,-270643000000,0,-3525000000,867219000000,863694000000,374
VCB,2013,1,7380722000000,0.0,1112451000000,0.0,7380722000000,-4789856000000,2590866000000,616016000000,-233497000000,382519000000,476394000000,6479000000,50953000000,45104000000,-26525000000,18579000000,79873000000,3605663000000,-1332765000000,2272898000000,-807607000000,1465291000000,-348070000000,-348070000000,0,-4770000000,1117221000000,1112451000000,482
